isoform	sample_1
ENSG00000025708.14_TD	3
ENSG00000054611.14_TD	8
ENSG00000069998.12_TD	6
ENSG00000070371.16_TD	11
ENSG00000070413.20_TD	20
ENSG00000073150.14_TD	7
ENSG00000073169.14_TD	4
ENSG00000075218.19_TD	47
ENSG00000075234.17_TD	10
ENSG00000075275.18_TD	4
ENSG00000093000.19_TD	5
ENSG00000093009.11_TD	2
ENSG00000093010.15_TD	2
ENSG00000093100.13_TD	4
ENSG00000099889.14_TD	2
ENSG00000099904.16_TD	22
ENSG00000099917.17_TD	4
ENSG00000099937.11_TD	3
ENSG00000099940.12_TD	4
ENSG00000099949.21_TD	18
ENSG00000099968.18_TD	5
ENSG00000099977.15_ENSG00000218537.1_TD	2
ENSG00000099977.15_TD	4
ENSG00000099991.18_TD	12
ENSG00000099994.11_TD	4
ENSG00000099995.19_TD	5
ENSG00000100003.18_TD	5
ENSG00000100014.20_ENSG00000128271.22_TD	2
ENSG00000100014.20_ENSG00000258555.6_TD	8
ENSG00000100023.20_TD	2
ENSG00000100029.18_ENSG00000128242.13_TD	2
ENSG00000100034.14_TD	12
ENSG00000100036.13_TD	10
ENSG00000100065.15_TD	4
ENSG00000100077.15_TD	4
ENSG00000100083.19_TD	48
ENSG00000100084.14_ENSG00000242259.9_TD	3
ENSG00000100084.14_TD	30
ENSG00000100099.21_TD	24
ENSG00000100100.13_ENSG00000228839.5_TD	5
ENSG00000100100.13_TD	6
ENSG00000100106.22_TD	20
ENSG00000100116.17_TD	3
ENSG00000100124.15_TD	5
ENSG00000100129.18_TD	4
ENSG00000100138.15_ENSG00000184208.12_TD	9
ENSG00000100138.15_TD	10
ENSG00000100142.16_ENSG00000100146.18_TD	39
ENSG00000100142.16_TD	5
ENSG00000100147.14_ENSG00000184068.2_TD	9
ENSG00000100147.14_TD	8
ENSG00000100150.20_ENSG00000285404.1_TD	2
ENSG00000100162.15_TD	3
ENSG00000100181.22_ENSG00000283633.1_TD	8
ENSG00000100181.22_TD	2
ENSG00000100201.23_TD	21
ENSG00000100206.10_TD	2
ENSG00000100209.11_TD	3
ENSG00000100220.12_TD	24
ENSG00000100227.18_TD	2
ENSG00000100228.14_TD	2
ENSG00000100234.12_TD	8
ENSG00000100239.16_TD	2
