isoform	sample_1
ENSG00000015475.19_TD	4
ENSG00000025708.14_TD	10
ENSG00000025770.19_TD	21
ENSG00000054611.14_TD	15
ENSG00000069998.12_TD	10
ENSG00000070010.19_TD	5
ENSG00000070371.16_TD	9
ENSG00000070413.20_TD	82
ENSG00000073150.14_TD	2
ENSG00000075234.17_TD	14
ENSG00000075240.17_TD	23
ENSG00000075275.18_TD	7
ENSG00000077942.19_TD	7
ENSG00000093000.19_TD	45
ENSG00000093009.11_TD	2
ENSG00000093010.15_ENSG00000099889.14_TD	3
ENSG00000093010.15_TD	9
ENSG00000093072.18_TD	4
ENSG00000099889.14_TD	2
ENSG00000099899.15_TD	9
ENSG00000099910.17_TD	2
ENSG00000099917.17_TD	20
ENSG00000099937.11_TD	3
ENSG00000099940.12_TD	15
ENSG00000099942.13_TD	118
ENSG00000099949.21_TD	42
ENSG00000099956.20_TD	5
ENSG00000099968.18_TD	26
ENSG00000099977.15_TD	4
ENSG00000099991.18_TD	14
ENSG00000099992.16_TD	2
ENSG00000099995.19_TD	24
ENSG00000100003.18_TD	5
ENSG00000100014.20_ENSG00000258555.6_TD	8
ENSG00000100014.20_TD	27
ENSG00000100023.20_TD	2
ENSG00000100027.17_TD	4
ENSG00000100028.12_TD	9
ENSG00000100029.18_TD	3
ENSG00000100030.15_TD	94
ENSG00000100034.14_TD	35
ENSG00000100036.13_TD	10
ENSG00000100038.20_ENSG00000224086.6_TD	8
ENSG00000100038.20_TD	14
ENSG00000100055.21_TD	2
ENSG00000100056.12_TD	2
ENSG00000100060.18_TD	5
ENSG00000100077.15_TD	9
ENSG00000100083.19_TD	57
ENSG00000100084.14_ENSG00000242259.9_TD	6
ENSG00000100084.14_TD	40
ENSG00000100097.12_TD	5
ENSG00000100099.21_TD	28
ENSG00000100100.13_ENSG00000228839.5_TD	5
ENSG00000100100.13_TD	6
ENSG00000100104.13_ENSG00000100109.17_TD	4
ENSG00000100105.18_TD	11
ENSG00000100106.22_TD	22
ENSG00000100109.17_TD	24
ENSG00000100116.17_TD	12
ENSG00000100129.18_TD	4
ENSG00000100138.15_ENSG00000184208.12_TD	29
ENSG00000100138.15_TD	44
ENSG00000100139.14_TD	12
ENSG00000100142.16_ENSG00000100146.18_TD	39
ENSG00000100142.16_TD	7
ENSG00000100147.14_ENSG00000184068.2_TD	9
ENSG00000100147.14_TD	20
ENSG00000100150.20_ENSG00000285404.1_TD	2
ENSG00000100150.20_TD	2
ENSG00000100162.15_TD	6
ENSG00000100181.22_ENSG00000283633.1_TD	2
ENSG00000100181.22_TD	2
ENSG00000100196.11_TD	8
ENSG00000100211.10_TD	2
ENSG00000100216.6_TD	13
ENSG00000100219.16_TD	69
ENSG00000100220.12_TD	37
ENSG00000100221.11_TD	29
ENSG00000100225.18_TD	9
ENSG00000100226.16_TD	35
ENSG00000100227.18_TD	43
ENSG00000100228.14_TD	2
ENSG00000100234.12_TD	169
ENSG00000100239.16_TD	8
ENSG00000100241.21_TD	10
ENSG00000100242.15_TD	127
ENSG00000100243.21_TD	6
ENSG00000100258.18_TD	2
ENSG00000100263.14_TD	2
ENSG00000100266.19_TD	19
ENSG00000100280.17_TD	5
ENSG00000100281.14_TD	35
ENSG00000100284.22_TD	35
ENSG00000100285.10_TD	2
ENSG00000100292.18_TD	4
ENSG00000100296.14_TD	5
ENSG00000100297.16_TD	13
ENSG00000100299.18_TD	2
ENSG00000100300.18_TD	5
ENSG00000100304.13_TD	21
ENSG00000100307.13_TD	2
ENSG00000100320.23_TD	55
ENSG00000100321.15_TD	6
ENSG00000100324.14_TD	28
ENSG00000100325.15_TD	16
ENSG00000100330.16_TD	10
ENSG00000100335.15_TD	33
ENSG00000100342.21_TD	7
ENSG00000100345.22_TD	493
ENSG00000100347.15_TD	9
ENSG00000100348.10_ENSG00000100350.15_TD	6
ENSG00000100348.10_TD	8
ENSG00000100350.15_TD	14
ENSG00000100351.17_TD	6
ENSG00000100353.18_TD	17
ENSG00000100354.21_TD	26
ENSG00000100359.21_TD	33
ENSG00000100360.15_TD	4
ENSG00000100364.19_TD	9
ENSG00000100372.15_TD	3
ENSG00000100376.12_TD	4
ENSG00000100380.14_TD	39
ENSG00000100393.14_TD	35
ENSG00000100395.15_TD	31
ENSG00000100401.20_TD	39
ENSG00000100403.12_TD	19
ENSG00000100410.8_TD	10
ENSG00000100413.17_TD	14
ENSG00000100416.15_TD	2
ENSG00000100418.8_TD	15
ENSG00000100422.14_TD	40
ENSG00000100425.18_TD	7
ENSG00000100426.7_TD	27
ENSG00000100429.18_TD	21
ENSG00000128185.10_TD	2
ENSG00000128266.9_TD	6
ENSG00000128272.17_TD	119
ENSG00000128283.7_TD	12
ENSG00000128294.16_TD	4
ENSG00000128309.17_TD	16
ENSG00000128311.14_TD	3
ENSG00000128335.14_TD	11
ENSG00000128340.15_TD	8
ENSG00000128394.17_TD	2
