rescue_candidate	mapping_hit	alignment_type	alignment_score
PB.30357.1	ENST00000657965.1	0	1051
PB.30357.1	ENST00000413768.5	2048	695
PB.30357.1	ENST00000437781.5	256	652
PB.30357.1	PB.164508.1	256	647
PB.124736.1	PB.8631.2	0	2848
PB.30357.2	ENST00000661115.1	0	1922
PB.30357.2	PB.130815.4	256	1747
PB.15672.2	ENST00000437781.5	0	2166
PB.15672.2	PB.164508.1	256	2166
PB.15672.2	PB.30357.3	256	1715
PB.15672.2	ENST00000413768.5	256	1894
PB.15672.2	PB.143795.2	256	1654
PB.137290.1	ENST00000447898.5	0	2563
PB.137290.1	PB.143795.2	256	2429
PB.137290.1	PB.164508.3	256	2427
PB.137290.1	ENST00000437781.5	256	2193
PB.137290.1	PB.164508.1	256	2186
PB.124736.3	ENST00000447898.5	0	2938
PB.124736.3	PB.143795.2	256	2534
PB.124736.3	PB.164508.3	256	2427
PB.124736.3	ENST00000661115.1	2048	480
PB.124736.3	PB.111549.1	2048	389
PB.124736.3	PB.111549.2	256	425
PB.124736.3	PB.8631.2	256	370
PB.124736.4	ENST00000447898.5	0	2730
PB.124736.4	PB.143795.2	256	2452
PB.124736.4	PB.164508.3	256	2337
PB.124736.4	ENST00000437781.5	256	2190
PB.124736.4	PB.164508.1	256	2178
PB.124736.4	ENST00000413768.5	2048	1808
PB.130815.3	PB.143795.2	0	2810
PB.130815.3	ENST00000447898.5	256	2805
PB.130815.3	PB.164508.3	256	2427
PB.3796.1	PB.8631.2	0	3091
PB.83094.2	ENST00000437781.5	0	740
PB.83094.2	PB.164508.1	256	735
PB.83094.2	ENST00000413768.5	256	632
PB.83094.3	ENST00000413768.5	0	691
PB.83094.3	ENST00000437781.5	256	648
PB.83094.3	PB.164508.1	256	643
PB.137290.2	PB.143795.2	0	2510
PB.137290.2	ENST00000447898.5	256	2573
PB.137290.2	PB.164508.3	256	2427
PB.137290.2	ENST00000437781.5	256	2306
PB.137290.2	PB.164508.1	256	2294
PB.143795.3	ENST00000447898.5	0	2710
PB.143795.3	PB.143795.2	256	2342
PB.143795.3	PB.164508.3	256	2336
PB.137290.3	ENST00000447898.5	0	2804
PB.137290.3	PB.143795.2	256	2566
PB.137290.3	PB.164508.3	256	2427
PB.3796.2	PB.8631.2	0	4006
PB.164508.2	ENST00000447898.5	0	2265
PB.164508.2	PB.143795.2	256	2265
PB.164508.2	PB.164508.3	256	2265
PB.143795.4	ENST00000447898.5	0	2712
PB.143795.4	PB.143795.2	256	2337
PB.143795.4	PB.164508.3	256	2337
PB.130815.5	ENST00000447898.5	0	2712
PB.130815.5	PB.143795.2	256	2553
PB.130815.5	PB.164508.3	256	2337
PB.130815.6	ENST00000657965.1	0	1120
PB.111551.1	ENST00000447898.5	0	570
PB.143797.1	ENST00000319363.11	0	2818
PB.143797.1	ENST00000612619.1	256	2636
PB.143797.1	PB.150482.1	256	2626
PB.130817.2	ENST00000319363.11	0	3227
PB.130817.2	ENST00000612619.1	256	3079
PB.130817.2	PB.150482.1	256	2552
PB.137291.1	ENST00000319363.11	0	2562
PB.137291.1	ENST00000612619.1	256	2377
PB.137291.1	PB.150482.1	256	2370
PB.157382.1	ENST00000612619.1	0	260
PB.157382.1	PB.150482.1	256	260
PB.157382.1	ENST00000319363.11	256	260
PB.157383.1	ENST00000319363.11	0	2529
PB.157383.1	ENST00000612619.1	256	2306
PB.30360.1	PB.22970.1	0	1719
PB.30360.1	PB.137292.1	256	953
PB.30360.1	PB.37826.1	256	1514
PB.118864.1		4	0
PB.45357.3	PB.45357.1	0	1698
PB.45357.3	PB.30360.2	256	1653
PB.45357.3	ENST00000336737.8	256	1653
PB.45357.3	PB.45357.4	256	1581
PB.45357.3	PB.45357.2	256	1602
PB.45357.3	PB.37826.1	256	1550
PB.75667.1	ENST00000253413.10	0	1161
PB.75667.1	ENST00000399796.6	256	953
PB.75667.1	PB.83098.2	256	1033
PB.75667.1	ENST00000399798.6	256	902
PB.68187.1	PB.130819.2	0	688
PB.68187.1	PB.130819.3	256	687
PB.137294.6	PB.130819.6	0	3112
PB.137294.6	ENST00000317582.10	256	3112
PB.137294.6	ENST00000618481.4	256	3043
PB.137294.6	ENST00000418951.6	256	2946
PB.137294.6	PB.130819.4	256	2945
PB.137294.6	PB.130819.2	256	2942
PB.45360.1	ENST00000317361.11	0	1716
PB.45360.1	ENST00000614949.4	256	1716
PB.45360.1	ENST00000622694.5	256	1716
PB.45360.1	ENST00000399765.5	256	1683
PB.3799.2	ENST00000414725.6	0	4562
PB.75670.1	PB.157386.1	0	622
PB.75670.1	ENST00000399744.8	256	617
PB.150483.1	ENST00000399744.8	0	1283
PB.150483.1	ENST00000329627.11	256	981
PB.45363.1	PB.30364.2	0	1506
PB.45363.1	ENST00000215794.8	256	1530
PB.45363.1	PB.37831.1	256	1530
PB.68191.2	PB.52887.1	0	1341
PB.68191.2	PB.52887.2	256	1286
PB.68191.2	ENST00000610959.4	256	585
PB.68191.2	PB.150503.1	256	1321
PB.68191.2	PB.23004.1	256	1321
PB.68191.2	ENST00000486209.5	256	594
PB.8639.2	ENST00000263196.12	0	4287
PB.8639.2	ENST00000545799.5	256	4286
PB.8639.2	ENST00000537045.5	256	4034
PB.8639.2	PB.8639.6	256	3768
PB.8639.2	PB.88761.1	256	3470
PB.137296.1	ENST00000263196.12	0	3053
PB.137296.1	ENST00000537045.5	256	3053
PB.137296.1	ENST00000545799.5	256	3053
PB.137296.1	PB.88761.1	256	2838
PB.137296.1	PB.8639.6	256	2834
PB.8639.5	ENST00000545799.5	0	4175
PB.8639.5	ENST00000263196.12	256	4168
PB.8639.5	ENST00000537045.5	256	3903
PB.8639.5	PB.8639.6	256	3698
PB.8639.5	PB.88761.1	256	3379
PB.8639.7	ENST00000545799.5	0	4359
PB.8639.7	ENST00000263196.12	256	4352
PB.8639.7	ENST00000537045.5	256	4087
PB.8639.7	PB.8639.6	256	3883
PB.8639.7	PB.88761.1	256	3563
PB.88761.3	ENST00000545799.5	0	3824
PB.88761.3	ENST00000263196.12	256	3824
PB.88761.3	ENST00000537045.5	256	3824
PB.88761.3	PB.8639.6	256	3324
PB.88761.3	PB.88761.1	256	3018
