Version	6.0.0
FilterClassification	/home/pabloati/Programs/SQANTI_examples/example/filter_ml/UHR_chr22_ML_classification.txt
ReferenceGTF	/home/pabloati/Programs/SQANTI_examples/data/reference/gencode.v38.basic_chr22.gtf
ReferenceFasta	/home/pabloati/Programs/SQANTI_examples/data/reference/GRCh38.p13_chr22.fasta
CorrectedIsoformsFasta	/home/pabloati/Programs/SQANTI_examples/example/QC_isoforms/UHR_chr22_corrected.fasta
FilteredIsoformsGTF	/home/pabloati/Programs/SQANTI_examples/example/filter_ml/UHR_chr22.filtered.gtf
ReferenceClassification	/home/pabloati/Programs/SQANTI_examples/example/QC_reference/GencodeV38_classification.txt
Counts	/home/pabloati/Programs/SQANTI_examples/data/UHR_abundance.tsv
RescueMonoexonic	all
Mode	full
Requant	True
Strategy	ml
OutputPrefix	UHR_chr22
OutputDirectory	/home/pabloati/Programs/SQANTI_examples/example/rescue_ml
CPUs	4
LogLevel	INFO
RandomForest	/home/pabloati/Programs/SQANTI_examples/example/filter_ml/UHR_chr22_randomforest.RData
Threshold	0.7
