Version	6.0.0
Input	/home/pabloati/Programs/SQANTI_examples/data/UHR_chr22.gtf
Annotation	/home/pabloati/Programs/SQANTI_examples/data/reference/gencode.v38.basic_chr22.gtf
Genome	/home/pabloati/Programs/SQANTI_examples/data/reference/GRCh38.p13_chr22.fasta
MinRefLength	0
Aligner	minimap2
FLCount	/home/pabloati/Programs/SQANTI_examples/data/UHR_abundance.tsv
Expression	NA
Junction	NA
CAGEPeak	/home/pabloati/Programs/SQANTI_examples/data/ref_TSS_annotation/human.refTSS_v3.1.hg38.bed
PolyAMotif	/home/pabloati/Programs/SQANTI_examples/data/polyA_motifs/mouse_and_human.polyA_motif.txt
PolyAPeak	NA
IsFusion	False
PhyloP	NA
includeORF	True
ORFInput	NA
PsauronThreshold	0.5
FASTAused	False
Expression	NA
GMAPindex	NA
OutputPrefix	UHR_chr22
OutputDirectory	/home/pabloati/Programs/SQANTI_examples/example/QC_isoforms
Coverage	NA
CanonicalSites	ATAC,GCAG,GTAG
PostTTSWindow	20
GeneName	False
ReportType	both
RunIsoAnnotLite	False
isoAnnotGFF3	NA
ShortReads	/home/pabloati/Programs/SQANTI_examples/data/UHR_chr22_short_reads.fofn
ShortReadsBAMs	NA
ratioTSSmetric	max
NovelGenePrefix	NA
CPUs	4
Chunks	1
LogLevel	INFO
IsoformHits	False
Saturation	False
TUSCO	NA
