rescue_candidate	mapping_hit	alignment_type	alignment_score
PB.83093.1	ENST00000635667.1	0	542
PB.137289.1		4	0
PB.30357.1	ENST00000657965.1	0	1051
PB.30357.1	PB.137290.2	2048	720
PB.30357.1	PB.124736.1	256	674
PB.30357.1	ENST00000413768.5	256	695
PB.30357.1	ENST00000437781.5	256	652
PB.30357.1	PB.164508.1	256	647
PB.30357.1	PB.96069.2	256	633
PB.118860.1		4	0
PB.15672.2	PB.164508.1	0	2166
PB.15672.2	ENST00000437781.5	256	2166
PB.15672.2	PB.137290.2	256	2134
PB.15672.2	ENST00000413768.5	256	1894
PB.137290.1	PB.137290.2	0	2929
PB.137290.1	ENST00000447898.5	256	2563
PB.124736.3	PB.137290.2	0	3078
PB.124736.3	ENST00000447898.5	256	2938
PB.124736.4	PB.137290.2	0	2885
PB.124736.4	ENST00000447898.5	256	2730
PB.130815.3	PB.137290.2	0	2567
PB.130815.3	ENST00000447898.5	256	2805
PB.30357.3	ENST00000437781.5	0	1655
PB.30357.3	PB.137290.2	256	1655
PB.30357.3	ENST00000447898.5	256	1655
PB.30357.3	PB.164508.1	256	1654
PB.30357.3	ENST00000413768.5	256	1387
PB.3796.1	PB.124736.1	0	2938
PB.83094.2	PB.124736.1	0	751
PB.83094.2	ENST00000437781.5	256	740
PB.83094.2	PB.164508.1	256	735
PB.83094.2	PB.96069.2	256	724
PB.83094.2	PB.137290.2	256	657
PB.83094.2	ENST00000413768.5	256	632
PB.83094.3	PB.137290.2	0	716
PB.83094.3	PB.124736.1	256	658
PB.83094.3	ENST00000413768.5	256	691
PB.83094.3	ENST00000437781.5	256	648
PB.83094.3	PB.164508.1	256	643
PB.83094.3	PB.96069.2	256	632
PB.143795.2	PB.137290.2	0	2504
PB.143795.2	ENST00000447898.5	256	2435
PB.143795.3	ENST00000447898.5	0	2710
PB.143795.3	PB.137290.2	256	2346
PB.8631.2	PB.124736.1	0	2848
PB.137290.3	ENST00000447898.5	0	2804
PB.137290.3	PB.137290.2	256	2439
PB.3796.2	PB.124736.1	0	2979
PB.164508.2	ENST00000447898.5	0	2265
PB.164508.2	PB.137290.2	256	2265
PB.143795.4	ENST00000447898.5	0	2712
PB.143795.4	PB.137290.2	256	2347
PB.130815.5	PB.137290.2	0	2578
PB.130815.5	ENST00000447898.5	256	2712
PB.164508.3	PB.137290.2	0	2427
PB.164508.3	ENST00000447898.5	256	2427
PB.130815.6	ENST00000657965.1	0	1120
PB.83095.1	PB.83095.3	0	900
PB.83095.1	ENST00000592107.5	256	900
PB.83095.1	PB.83095.4	256	780
PB.83095.1	ENST00000592918.5	256	490
PB.83095.1	PB.52882.2	256	372
PB.83095.1	PB.75665.2	256	411
PB.75665.1	PB.75665.2	0	1019
PB.75665.1	ENST00000592918.5	256	1019
PB.75665.1	PB.52882.2	256	1018
PB.75665.1	ENST00000588548.1	256	1015
PB.60583.1	PB.52882.2	0	1511
PB.60583.1	ENST00000592918.5	256	1302
PB.60583.1	PB.75665.2	256	1212
PB.68183.1	ENST00000592918.5	0	1420
PB.68183.1	PB.52882.2	256	1301
PB.68183.1	PB.75665.2	256	1330
PB.83095.2	PB.83095.4	0	988
PB.83095.2	PB.83095.3	256	778
PB.83095.2	ENST00000592107.5	256	778
PB.83095.2	PB.52882.2	256	582
PB.37825.1	PB.52882.2	0	1547
PB.37825.1	ENST00000592918.5	256	1318
PB.111553.1	ENST00000609932.5	0	340
PB.111553.1	PB.124737.1	256	340
PB.111553.1	PB.130816.1	256	338
PB.111553.1	ENST00000441006.5	256	338
PB.143796.1	PB.130816.1	0	2484
PB.130817.2	ENST00000319363.11	0	3227
PB.130817.2	PB.143797.1	256	2776
PB.130817.2	ENST00000612619.1	256	3079
PB.130817.2	PB.150482.1	256	2552
PB.137291.1	PB.143797.1	0	2629
PB.137291.1	ENST00000319363.11	256	2562
PB.137291.1	ENST00000612619.1	256	2377
PB.137291.1	PB.150482.1	256	2370
PB.157382.1	PB.143797.1	0	260
PB.157382.1	ENST00000319363.11	256	260
PB.157382.1	PB.150482.1	256	260
PB.157382.1	ENST00000612619.1	256	260
PB.157383.1	ENST00000319363.11	0	2529
PB.157383.1	ENST00000612619.1	256	2306
PB.157383.1	PB.143797.1	256	2041
PB.30360.1	PB.37826.1	0	1514
PB.30360.1	ENST00000336737.8	256	1274
PB.30360.1	ENST00000155674.9	256	1274
PB.30360.1	PB.30360.2	256	1273
PB.45357.1	ENST00000336737.8	0	1688
PB.45357.1	PB.30360.2	256	1684
PB.45357.1	PB.88755.1	256	-204
PB.45357.1	ENST00000155674.9	256	1541
PB.45357.1	PB.37826.1	256	1539
PB.45357.2	ENST00000336737.8	0	1747
PB.45357.2	PB.30360.2	256	1743
PB.45357.2	PB.88755.1	256	-124
PB.45357.2	ENST00000155674.9	256	1600
PB.45357.2	PB.37826.1	256	1598
PB.60585.3	PB.30360.2	0	1443
PB.60585.3	ENST00000336737.8	256	1443
PB.60585.3	ENST00000155674.9	256	1443
PB.60585.3	PB.37826.1	256	1443
PB.60585.3	PB.124739.1	256	1329
PB.60585.3	PB.88755.1	256	1202
PB.60585.2	PB.30360.2	0	1389
PB.60585.2	ENST00000336737.8	256	1389
PB.60585.2	PB.88755.1	256	-502
PB.60585.2	ENST00000155674.9	256	1246
PB.60585.2	PB.37826.1	256	1244
PB.22970.1	PB.37826.1	0	1802
PB.22970.1	ENST00000155674.9	256	1562
PB.22970.1	PB.30360.2	256	1562
PB.22970.1	ENST00000336737.8	256	1562
PB.45357.3	ENST00000336737.8	0	1653
PB.45357.3	PB.30360.2	256	1653
PB.45357.3	PB.88755.1	256	-237
PB.45357.3	ENST00000155674.9	256	1552
PB.45357.3	PB.37826.1	256	1550
PB.45357.4	ENST00000336737.8	0	1706
PB.45357.4	PB.30360.2	256	1706
PB.45357.4	PB.88755.1	256	-184
PB.45357.4	ENST00000155674.9	256	1570
PB.45357.4	PB.37826.1	256	1568
PB.68185.2	ENST00000336737.8	0	1023
PB.68185.2	PB.30360.2	256	1023
PB.68185.2	ENST00000155674.9	256	887
PB.68185.2	PB.37826.1	256	885
PB.137292.1	PB.88755.1	0	1823
PB.75667.1	ENST00000253413.10	0	1161
PB.75667.1	ENST00000399796.6	256	953
PB.75667.1	PB.83098.2	256	1033
PB.75667.1	ENST00000399798.6	256	902
PB.137294.1	ENST00000618481.4	0	3016
PB.137294.1	PB.130819.4	256	2956
PB.137294.1	ENST00000418951.6	256	2956
PB.137294.1	PB.130819.6	256	2860
PB.137294.1	ENST00000317582.10	256	2860
PB.137294.1	ENST00000611738.4	256	2765
PB.130819.2	PB.130819.6	0	3107
PB.130819.2	ENST00000317582.10	256	3099
PB.130819.2	ENST00000418951.6	256	2953
PB.130819.2	PB.130819.4	256	2953
PB.130819.2	ENST00000543133.5	256	2779
PB.130819.2	PB.137294.5	256	2775
PB.130819.3	ENST00000418951.6	0	3132
PB.130819.3	PB.130819.4	256	3132
PB.130819.3	PB.130819.6	256	3024
PB.130819.3	ENST00000317582.10	256	3016
PB.130819.3	PB.137294.4	256	2814
PB.130819.3	ENST00000543133.5	256	2749
PB.143799.1	ENST00000611738.4	0	2863
PB.143799.1	ENST00000618481.4	256	2716
PB.143799.1	PB.137294.4	256	2811
PB.143799.1	ENST00000418951.6	256	2641
PB.143799.1	PB.130819.4	256	2641
PB.143799.1	PB.130819.6	256	2571
PB.103688.1	ENST00000618481.4	0	628
PB.103688.1	ENST00000399782.5	256	513
PB.103688.1	PB.96072.1	256	513
PB.103688.1	ENST00000493680.5	256	513
PB.103688.1	PB.130819.6	256	482
PB.103688.1	ENST00000317582.10	256	482
PB.137294.3	PB.137294.2	0	2889
PB.137294.3	ENST00000337612.9	256	2889
PB.137294.3	ENST00000543133.5	256	2793
PB.137294.3	ENST00000418951.6	256	2706
PB.137294.3	PB.137294.5	256	2791
PB.137294.3	PB.130819.6	256	2626
PB.68187.1	PB.137294.4	0	432
