artifact	assigned_transcript	rescue_mode	origin	reintroduced
PB.3853.1	ENST00000335727.13	automatic	reference	yes
PB.3872.1	ENST00000454366.2	automatic	reference	yes
PB.8637.1	ENST00000619918.1	automatic	reference	yes
PB.8655.3	ENST00000397495.8	automatic	reference	yes
PB.8666.1	ENST00000613780.4	automatic	reference	yes
PB.8689.3	ENST00000397223.4	automatic	reference	yes
PB.8707.3	ENST00000355630.10	automatic	reference	yes
PB.8707.4	ENST00000402042.7	automatic	reference	yes
PB.15706.1	ENST00000316185.8	automatic	reference	yes
PB.15814.2	ENST00000216180.8	automatic	reference	yes
PB.22974.1	ENST00000600723.1	automatic	reference	yes
PB.23095.1	ENST00000466237.2	automatic	reference	yes
PB.23109.1	ENST00000216180.8	automatic	reference	no
PB.23111.1	ENST00000624919.1	automatic	reference	yes
PB.23122.2	ENST00000454366.2	automatic	reference	no
PB.30373.1	ENST00000431090.1	automatic	reference	yes
PB.30433.1	ENST00000644773.2	automatic	reference	yes
PB.30504.2	ENST00000216180.8	automatic	reference	no
PB.37852.1	ENST00000292748.7	automatic	reference	yes
PB.37951.1	ENST00000466237.2	automatic	reference	no
PB.37980.1	ENST00000454366.2	automatic	reference	no
PB.45394.1	ENST00000397495.8	automatic	reference	no
PB.45411.1	ENST00000613780.4	automatic	reference	no
PB.45438.1	ENST00000504184.3	automatic	reference	yes
PB.45486.1	ENST00000402042.7	automatic	reference	no
PB.45487.1	ENST00000435456.7	automatic	reference	yes
PB.52924.1	ENST00000426721.2	automatic	reference	yes
PB.52996.1	ENST00000396821.8	automatic	reference	yes
PB.53054.1	ENST00000454366.2	automatic	reference	no
PB.60587.1	ENST00000610959.4	automatic	reference	yes
PB.60649.3	ENST00000439502.6	automatic	reference	yes
PB.60702.1	ENST00000544408.5	automatic	reference	yes
PB.60739.1	ENST00000454366.2	automatic	reference	no
PB.68206.1	ENST00000436075.1	automatic	reference	yes
PB.68261.1	ENST00000645015.1	automatic	reference	yes
PB.68270.4	ENST00000414461.6	automatic	reference	yes
PB.68293.3	ENST00000396832.6	automatic	reference	yes
PB.68320.1	ENST00000466237.2	automatic	reference	no
PB.75765.1	ENST00000396821.8	automatic	reference	no
PB.75772.1	ENST00000361441.5	automatic	reference	yes
PB.75772.2	ENST00000361441.5	automatic	reference	no
PB.83113.1	ENST00000408439.3	automatic	reference	yes
PB.83180.4	ENST00000403313.5	automatic	reference	yes
PB.88803.1	ENST00000608952.1	automatic	reference	yes
PB.88804.3	ENST00000332585.11	automatic	reference	yes
PB.88831.2	ENST00000652095.2	automatic	reference	yes
PB.88837.1	ENST00000466237.2	automatic	reference	no
PB.96069.4	ENST00000608286.1	automatic	reference	yes
PB.96101.1	ENST00000342192.9	automatic	reference	yes
PB.96123.2	ENST00000216027.8	automatic	reference	yes
PB.96137.1	ENST00000644773.2	automatic	reference	no
PB.103701.1	ENST00000334554.12	automatic	reference	yes
PB.103753.1	ENST00000409652.5	automatic	reference	yes
PB.103782.1	ENST00000361441.5	automatic	reference	no
PB.103790.1	ENST00000435456.7	automatic	reference	no
PB.111592.1	ENST00000216027.8	automatic	reference	no
PB.111644.1	ENST00000396821.8	automatic	reference	no
PB.111692.2	ENST00000454366.2	automatic	reference	no
PB.118986.1	ENST00000335727.13	automatic	reference	no
PB.124752.2	ENST00000327374.9	automatic	reference	yes
PB.124830.2	ENST00000623458.1	automatic	reference	yes
PB.124841.1	ENST00000466237.2	automatic	reference	no
PB.130822.1	ENST00000450866.1	automatic	reference	yes
PB.130833.1	ENST00000334554.12	automatic	reference	no
PB.130850.1	ENST00000629869.1	automatic	reference	yes
PB.130888.1	ENST00000409652.5	automatic	reference	no
PB.130905.1	ENST00000443658.5	automatic	reference	yes
PB.130911.2	ENST00000216083.6	automatic	reference	yes
PB.137302.1	ENST00000420290.6	automatic	reference	yes
PB.137336.1	ENST00000400335.9	automatic	reference	yes
PB.143802.1	ENST00000623543.1	automatic	reference	yes
PB.143813.1	ENST00000334554.12	automatic	reference	no
PB.143845.1	ENST00000585003.1	automatic	reference	yes
PB.143930.2	ENST00000623075.1	automatic	reference	yes
PB.150493.1	ENST00000334554.12	automatic	reference	no
PB.150569.3	ENST00000403904.5	automatic	reference	yes
PB.150572.1	ENST00000396821.8	automatic	reference	no
PB.150621.1	ENST00000454366.2	automatic	reference	no
PB.157457.1	ENST00000334679.4	automatic	reference	yes
PB.157484.1	ENST00000396821.8	automatic	reference	no
PB.157516.1	ENST00000516104.1	automatic	reference	yes
PB.157532.2	ENST00000454366.2	automatic	reference	no
PB.157535.1	ENST00000564152.1	automatic	reference	yes
PB.164576.2	ENST00000439502.6	automatic	reference	no
PB.164638.1	ENST00000649288.1	automatic	reference	yes
PB.103709.1	PB.52915.2	rules_mapping	lr_defined	no
PB.103710.1	PB.52915.2	rules_mapping	lr_defined	no
PB.103710.1	PB.137312.1	rules_mapping	lr_defined	no
PB.103713.1	PB.157414.1	rules_mapping	lr_defined	no
PB.103713.1	PB.143822.3	rules_mapping	lr_defined	no
PB.103732.1	ENST00000216037.10	rules_mapping	reference	yes
PB.103766.1	ENST00000451997.6	rules_mapping	reference	yes
PB.103774.1	PB.164593.1	rules_mapping	lr_defined	no
PB.103775.1	PB.68290.1	rules_mapping	lr_defined	no
PB.103775.1	PB.88822.3	rules_mapping	lr_defined	no
PB.103775.1	PB.137374.2	rules_mapping	lr_defined	no
PB.103775.1	PB.88822.4	rules_mapping	lr_defined	no
PB.103784.3	PB.83216.7	rules_mapping	lr_defined	no
PB.103784.3	PB.68302.2	rules_mapping	lr_defined	no
PB.103784.3	PB.60695.3	rules_mapping	lr_defined	no
PB.103795.1	PB.83230.1	rules_mapping	lr_defined	no
PB.103795.2	PB.83230.1	rules_mapping	lr_defined	no
PB.103802.1	PB.96200.1	rules_mapping	lr_defined	no
PB.103804.2	PB.103804.1	rules_mapping	lr_defined	no
PB.103805.1	ENST00000669665.1	rules_mapping	reference	yes
PB.103808.1	PB.45504.4	rules_mapping	lr_defined	no
PB.103811.1	ENST00000337554.8	rules_mapping	reference	yes
PB.103815.1	ENST00000381176.5	rules_mapping	reference	yes
PB.103838.2	PB.45530.1	rules_mapping	lr_defined	no
PB.111551.1	ENST00000447898.5	rules_mapping	reference	yes
PB.111574.1	ENST00000444039.1	rules_mapping	reference	yes
PB.111594.2	ENST00000458080.1	rules_mapping	reference	yes
PB.111597.1	PB.88800.4	rules_mapping	lr_defined	no
PB.111601.1	PB.83155.2	rules_mapping	lr_defined	no
PB.111601.1	PB.83155.3	rules_mapping	lr_defined	no
PB.111603.1	PB.143852.4	rules_mapping	lr_defined	no
PB.111603.1	PB.30425.1	rules_mapping	lr_defined	no
PB.111603.1	PB.143852.6	rules_mapping	lr_defined	no
