Version	6.0.0
Mode	rules
ClassificationFile	example/QC_isoforms/UHR_chr22_classification.txt
Isoforms	example/QC_isoforms/UHR_chr22_corrected.fasta
GTF	example/QC_isoforms/UHR_chr22_corrected.gtf
SAM	NA
FAA	example/QC_isoforms/UHR_chr22_corrected.faa
isoAnnotGFF3	NA
OutputPrefix	UHR_chr22
OutputDirectory	/home/pabloati/Programs/SQANTI_examples/example/filter_rules
FilterMonoexonic	False
SkipReport	False
CPUs	4
LogLevel	INFO
JSON	/home/pabloati/Programs/sqanti3/src/utilities/filter/filter_default.json
