artifact	assigned_transcript	rescue_mode	origin	reintroduced
PB.3822.1	ENST00000400358.9	automatic	reference	yes
PB.3830.3	ENST00000361676.8	automatic	reference	yes
PB.3831.4	ENST00000323630.9	automatic	reference	yes
PB.3836.2	ENST00000400249.7	automatic	reference	yes
PB.8637.1	ENST00000619918.1	automatic	reference	yes
PB.8653.1	ENST00000339468.8	automatic	reference	yes
PB.8691.1	ENST00000429360.6	automatic	reference	yes
PB.8707.4	ENST00000402042.7	automatic	reference	yes
PB.15706.1	ENST00000316185.8	automatic	reference	yes
PB.15741.1	ENST00000404390.7	automatic	reference	yes
PB.22974.1	ENST00000600723.1	automatic	reference	yes
PB.22986.3	ENST00000438754.6	automatic	reference	yes
PB.23029.1	ENST00000332050.10	automatic	reference	yes
PB.23036.2	ENST00000402284.7	automatic	reference	yes
PB.23095.1	ENST00000466237.2	automatic	reference	yes
PB.23097.4	ENST00000405878.5	automatic	reference	yes
PB.23111.1	ENST00000624919.1	automatic	reference	yes
PB.30374.2	ENST00000437685.6	automatic	reference	yes
PB.37840.4	ENST00000447208.6	automatic	reference	yes
PB.37875.1	ENST00000333395.10	automatic	reference	yes
PB.37884.1	ENST00000407817.3	automatic	reference	yes
PB.37907.4	ENST00000405442.5	automatic	reference	yes
PB.37939.2	ENST00000331454.3	automatic	reference	yes
PB.37941.1	ENST00000404241.6	automatic	reference	yes
PB.37942.1	ENST00000680978.1	automatic	reference	yes
PB.37951.1	ENST00000466237.2	automatic	reference	no
PB.37988.3	ENST00000413817.8	automatic	reference	yes
PB.37996.4	ENST00000395621.7	automatic	reference	yes
PB.45368.6	ENST00000404724.7	automatic	reference	yes
PB.45438.1	ENST00000504184.3	automatic	reference	yes
PB.45458.1	ENST00000403888.7	automatic	reference	yes
PB.45486.1	ENST00000402042.7	automatic	reference	no
PB.45533.1	ENST00000395619.3	automatic	reference	yes
PB.52915.2	ENST00000545681.2	automatic	reference	yes
PB.52924.1	ENST00000426721.2	automatic	reference	yes
PB.52927.1	ENST00000626825.1	automatic	reference	yes
PB.60597.2	ENST00000334363.14	automatic	reference	yes
PB.60632.2	ENST00000425190.7	automatic	reference	yes
PB.60666.1	ENST00000341116.7	automatic	reference	yes
PB.68189.1	ENST00000329627.11	automatic	reference	yes
PB.68201.1	ENST00000676678.1	automatic	reference	yes
