[WARNING:2026-05-11 14:45:50,795] Output directory example/rescue_automatic already exists. Overwriting!
[INFO:2026-05-11 14:45:50,880] Write arguments to /home/pabloati/Programs/SQANTI_examples/example/rescue_automatic/UHR_chr22_rescue_params.txt...
[INFO:2026-05-11 14:45:50,880] Running SQANTI3 rescue pipeline version 6.0.1
[INFO:2026-05-11 14:45:50,880] ----------------------------------------------------------
[INFO:2026-05-11 14:45:50,880]   Initializing SQANTI3 rescue pipeline in automatic mode  
[INFO:2026-05-11 14:45:50,880] ----------------------------------------------------------
[INFO:2026-05-11 14:45:50,880] --------------------------------------------------
[INFO:2026-05-11 14:45:50,880]         Reading filter classification file        
[INFO:2026-05-11 14:45:50,881] --------------------------------------------------
[INFO:2026-05-11 14:45:50,915] --------------------------------------------------
[INFO:2026-05-11 14:45:50,915]            Performing automatic rescue            
[INFO:2026-05-11 14:45:50,915] --------------------------------------------------
[INFO:2026-05-11 14:45:50,986] --------------------------------------------------
[INFO:2026-05-11 14:45:50,987]             Automatic rescue completed            
[INFO:2026-05-11 14:45:50,987] --------------------------------------------------
[INFO:2026-05-11 14:45:50,987] Creating reference transcriptome FASTA from provided GTF (--refGTF).
[INFO:2026-05-11 14:45:51,241] Reference transcriptome FASTA was saved to example/rescue_automatic/gencode.v38.basic_chr22.isoforms.fasta
[INFO:2026-05-11 14:45:51,241] --------------------------------------------------
[INFO:2026-05-11 14:45:51,241]              Generating rescued GTF.              
[INFO:2026-05-11 14:45:51,241] --------------------------------------------------
[INFO:2026-05-11 14:45:51,243] Final inclusion list written to file: example/rescue_automatic/UHR_chr22_rescue_inclusion_list.tsv
[INFO:2026-05-11 14:45:51,243] Final rescue table written to file: example/rescue_automatic/UHR_chr22_rescue_table.tsv
[INFO:2026-05-11 14:45:51,326] Final output GTF written to file:  example/rescue_automatic/UHR_chr22_rescued.gtf
[INFO:2026-05-11 14:45:51,438] Rescued FASTA written to file: example/rescue_automatic/UHR_chr22_rescued.fasta
[WARNING:2026-05-11 14:45:51,440] No reference classification provided.
[WARNING:2026-05-11 14:45:51,440] Rescued classification will only include the user-defined true isoforms.
[INFO:2026-05-11 14:45:51,512] Rescued classification written to file: example/rescue_automatic/UHR_chr22_rescued_classification.txt
[INFO:2026-05-11 14:45:51,512] --------------------------------------------------
[INFO:2026-05-11 14:45:51,512]           Rescue finished successfully!           
[INFO:2026-05-11 14:45:51,512] --------------------------------------------------
[INFO:2026-05-11 14:45:51,512] --------------------------------------------------
[INFO:2026-05-11 14:45:51,512]             Running requantification.             
[INFO:2026-05-11 14:45:51,512] --------------------------------------------------
[INFO:2026-05-11 14:45:51,517] Counts file parsed.
[INFO:2026-05-11 14:45:51,569] Requantification of counts completed.
[INFO:2026-05-11 14:45:51,569] New count table saved to example/rescue_automatic/UHR_chr22_reassigned_counts.tsv
[INFO:2026-05-11 14:45:51,679] Requantification finished!
