Version	6.0.0
Mode	ml
ClassificationFile	example/QC_isoforms/UHR_chr22_classification.txt
Isoforms	example/QC_isoforms/UHR_chr22_corrected.fasta
GTF	example/QC_isoforms/UHR_chr22_corrected.gtf
SAM	NA
FAA	example/QC_isoforms/UHR_chr22_corrected.faa
isoAnnotGFF3	NA
OutputPrefix	UHR_chr22
OutputDirectory	/home/pabloati/Programs/SQANTI_examples/example/filter_ml
FilterMonoexonic	False
SkipReport	False
CPUs	4
LogLevel	INFO
PercentTraining	0.8
TP	NA
TN	NA
Threshold	0.7
ForceFSM	False
KeepIntermediate	False
ColumnsRemoved	NA
MaxClassSize	3000
Intrapriming	60.0
